,x,y,0,1,2,3
213,76,14,-2.52000000000014,4.149999999999858,4.009999999999851,4.009999999999851
214,76,15,4.079999999999854,4.079999999999854,-2.5900000000001437,3.9399999999998485
215,77,16,4.079999999999854,4.079999999999854,3.9399999999998485,-2.5900000000001437
216,79,16,4.219999999999862,4.219999999999862,4.079999999999854,4.079999999999854
217,79,17,4.149999999999858,4.149999999999858,4.009999999999851,4.009999999999851
218,80,17,4.219999999999862,4.219999999999862,-2.450000000000136,4.079999999999854
219,81,17,4.289999999999866,4.289999999999866,4.149999999999858,4.149999999999858
220,82,17,-2.3100000000001284,4.35999999999987,4.219999999999862,4.219999999999862
221,83,17,4.429999999999874,-2.2400000000001246,-2.2400000000001246,4.289999999999866
222,81,18,4.219999999999862,4.219999999999862,4.079999999999854,-2.450000000000136
223,80,16,4.289999999999866,4.289999999999866,4.149999999999858,4.149999999999858
224,78,17,4.079999999999854,4.079999999999854,3.9399999999998485,3.9399999999998485
225,78,16,4.149999999999858,4.149999999999858,4.009999999999851,4.009999999999851
226,77,17,4.009999999999851,4.009999999999851,3.8699999999998465,3.8699999999998465
227,79,18,4.079999999999854,-2.5900000000001437,3.9399999999998485,3.9399999999998485
228,81,16,4.35999999999987,-2.3100000000001284,4.219999999999862,4.219999999999862
229,77,9,4.569999999999881,4.569999999999881,4.429999999999874,4.429999999999874
230,77,8,4.639999999999885,-2.0300000000001166,4.499999999999877,4.499999999999877
231,77,7,4.709999999999889,4.709999999999889,4.569999999999881,4.569999999999881
232,76,9,4.499999999999877,4.499999999999877,-2.1700000000001207,4.35999999999987
233,75,9,4.429999999999874,4.429999999999874,4.289999999999866,4.289999999999866
234,75,10,4.35999999999987,-2.310000000000132,4.219999999999862,4.219999999999862
235,75,11,4.289999999999866,-2.3800000000001322,4.149999999999858,4.149999999999858
236,74,11,4.219999999999862,4.219999999999862,4.079999999999854,4.079999999999854
237,75,8,4.499999999999877,4.499999999999877,4.35999999999987,4.35999999999987
238,74,9,4.35999999999987,4.35999999999987,4.219999999999862,4.219999999999862
239,74,8,4.429999999999874,4.429999999999874,4.289999999999866,4.289999999999866
240,75,7,4.569999999999881,4.569999999999881,4.429999999999874,4.429999999999874
241,74,7,-2.1700000000001207,4.499999999999877,4.35999999999987,4.35999999999987
242,75,6,4.499999999999877,4.639999999999885,4.499999999999877,-2.030000000000113
243,76,6,-1.96000000000011,4.709999999999889,4.569999999999881,4.569999999999881
244,76,7,4.639999999999885,4.639999999999885,4.499999999999877,4.499999999999877
