episode,t,obs,act,rew
4,17,"(9, 19)",1,-0.17
4,18,"(10, 19)",1,-0.17
4,19,"(11, 19)",1,-0.17
4,20,"(12, 19)",1,-0.17
4,21,"(13, 19)",1,-0.17
4,22,"(14, 19)",1,-0.17
4,23,"(15, 19)",0,-0.17
4,24,"(15, 18)",0,-0.17
4,25,"(15, 17)",3,-0.17
4,26,"(14, 17)",3,-0.17
4,27,"(13, 17)",0,-0.17
4,28,"(13, 16)",0,-0.17
4,29,"(13, 15)",0,-0.17
4,30,"(13, 14)",0,-0.17
4,31,"(13, 13)",3,-0.17
4,32,"(12, 13)",3,-0.17
4,33,"(11, 13)",0,-0.17
4,34,"(11, 12)",0,-0.17
4,35,"(11, 11)",1,-0.17
4,36,"(12, 11)",1,-0.17
4,37,"(13, 11)",1,-0.17
4,38,"(14, 11)",1,-0.17
4,39,"(15, 11)",0,-0.17
4,40,"(15, 10)",0,-0.17
4,41,"(15, 9)",0,-0.17
4,42,"(15, 8)",0,-0.17
4,43,"(15, 7)",0,-0.17
4,44,"(15, 6)",0,-0.17
4,45,"(15, 5)",0,-0.17
4,46,"(15, 4)",0,-0.17
4,47,"(15, 3)",0,-0.17
4,48,"(15, 2)",0,-0.17
4,49,"(15, 1)",1,-0.17
4,50,"(16, 1)",1,-0.17
4,51,"(17, 1)",1,-0.17
4,52,"(18, 1)",1,-0.17
4,53,"(19, 1)",2,-0.17
4,54,"(19, 2)",2,-0.17
4,55,"(19, 3)",2,-0.17
4,56,"(19, 4)",2,-0.17
4,57,"(19, 5)",3,-0.17
4,58,"(18, 5)",3,-0.17
4,59,"(17, 5)",2,-0.17
4,60,"(17, 6)",2,-0.17
4,61,"(17, 7)",2,-0.17
4,62,"(17, 8)",2,-0.17
4,63,"(17, 9)",2,-0.17
4,64,"(17, 10)",2,-0.17
4,65,"(17, 11)",2,-0.17
4,66,"(17, 12)",2,-0.17
4,67,"(17, 13)",2,-0.17
4,68,"(17, 14)",2,-0.17
4,69,"(17, 15)",2,-0.17
4,70,"(17, 16)",2,-0.17
4,71,"(17, 17)",2,-0.17
4,72,"(17, 18)",2,-0.17
4,73,"(17, 19)",1,-0.17
4,74,"(18, 19)",1,-0.17
4,75,"(19, 19)",0,-0.17
4,76,"(19, 18)",0,-0.17
4,77,"(19, 17)",1,-0.17
4,78,"(20, 17)",1,-0.17
4,79,"(21, 17)",2,-0.17
4,80,"(21, 18)",2,-0.17
4,81,"(21, 19)",1,-0.17
4,82,"(22, 19)",1,-0.17
4,83,"(23, 19)",1,-0.17
4,84,"(24, 19)",1,-0.17
4,85,"(25, 19)",1,-0.17
4,86,"(26, 19)",1,-0.17
4,87,"(27, 19)",1,-0.17
4,88,"(28, 19)",1,-0.17
4,89,"(29, 19)",1,-0.17
4,90,"(30, 19)",1,-0.17
4,91,"(31, 19)",0,-0.17
4,92,"(31, 18)",0,-0.17
4,93,"(31, 17)",3,-0.17
4,94,"(30, 17)",3,-0.17
4,95,"(29, 17)",3,-0.17
4,96,"(28, 17)",3,-0.17
4,97,"(27, 17)",0,-0.17
