episode,t,obs,act,rew
4,53,"(34, 2)",1,-0.17
4,54,"(35, 2)",2,-0.17
4,55,"(35, 3)",1,-0.17
4,56,"(36, 3)",1,-0.17
4,57,"(37, 3)",1,-0.17
4,58,"(38, 3)",1,-0.17
4,59,"(39, 3)",0,-0.17
4,60,"(39, 2)",0,-0.17
4,61,"(39, 1)",0,16.67
5,0,"(0, 19)",0,-0.17
5,1,"(0, 18)",1,-0.17
5,2,"(1, 18)",1,-16.67
5,3,"(1, 18)",0,-0.17
5,4,"(1, 17)",1,-0.17
5,5,"(2, 17)",1,-0.17
5,6,"(3, 17)",0,-0.17
5,7,"(3, 16)",1,-0.17
5,8,"(4, 16)",0,-16.67
5,9,"(4, 16)",2,-0.17
5,10,"(4, 17)",1,-0.17
5,11,"(5, 17)",1,-0.17
5,12,"(6, 17)",1,-0.17
5,13,"(7, 17)",1,-0.17
5,14,"(8, 17)",1,-0.17
5,15,"(9, 17)",1,-0.17
5,16,"(10, 17)",1,-0.17
5,17,"(11, 17)",0,-0.17
5,18,"(11, 16)",1,-0.17
5,19,"(12, 16)",1,-0.17
5,20,"(13, 16)",1,-0.17
5,21,"(14, 16)",0,-0.17
5,22,"(14, 15)",1,-0.17
5,23,"(15, 15)",0,-0.17
5,24,"(15, 14)",1,-0.17
5,25,"(16, 14)",1,-0.17
5,26,"(17, 14)",0,-0.17
5,27,"(17, 13)",0,-0.17
5,28,"(17, 12)",0,-0.17
5,29,"(17, 11)",0,-0.17
5,30,"(17, 10)",1,-0.17
5,31,"(18, 10)",1,-0.17
5,32,"(19, 10)",0,-0.17
5,33,"(19, 9)",1,-0.17
5,34,"(20, 9)",1,-0.17
5,35,"(21, 9)",1,-0.17
5,36,"(22, 9)",1,-0.17
5,37,"(23, 9)",1,-0.17
5,38,"(24, 9)",1,-0.17
5,39,"(25, 9)",1,-0.17
5,40,"(26, 9)",1,-0.17
5,41,"(27, 9)",1,-0.17
5,42,"(28, 9)",1,-0.17
5,43,"(29, 9)",1,-16.67
5,44,"(29, 9)",0,-0.17
5,45,"(29, 8)",0,-0.17
5,46,"(29, 7)",1,-0.17
5,47,"(30, 7)",1,-0.17
5,48,"(31, 7)",0,-0.17
5,49,"(31, 6)",0,-0.17
5,50,"(31, 5)",0,-0.17
5,51,"(31, 4)",0,-0.17
5,52,"(31, 3)",1,-0.17
5,53,"(32, 3)",1,-0.17
5,54,"(33, 3)",0,-0.17
5,55,"(33, 2)",1,-0.17
5,56,"(34, 2)",1,-0.17
5,57,"(35, 2)",1,-0.17
5,58,"(36, 2)",2,-0.17
5,59,"(36, 3)",1,-0.17
5,60,"(37, 3)",1,-0.17
5,61,"(38, 3)",0,-0.17
5,62,"(38, 2)",0,-0.17
5,63,"(38, 1)",0,-0.17
5,64,"(38, 0)",1,16.67
6,0,"(0, 19)",0,-0.17
6,1,"(0, 18)",1,-0.17
6,2,"(1, 18)",0,-0.17
6,3,"(1, 17)",1,-0.17
6,4,"(2, 17)",0,-0.17
6,5,"(2, 16)",0,-0.17
6,6,"(2, 15)",0,-0.17
6,7,"(2, 14)",0,-0.17
6,8,"(2, 13)",1,-0.17
6,9,"(3, 13)",1,-0.17
6,10,"(4, 13)",1,-0.17
6,11,"(5, 13)",1,-0.17
6,12,"(6, 13)",1,-0.17
6,13,"(7, 13)",0,-16.67
6,14,"(7, 13)",1,-0.17
6,15,"(8, 13)",0,-0.17
6,16,"(8, 12)",0,-0.17
6,17,"(8, 11)",1,-0.17
6,18,"(9, 11)",0,-0.17
6,19,"(9, 10)",1,-0.17
6,20,"(10, 10)",1,-16.67
6,21,"(10, 10)",0,-0.17
6,22,"(10, 9)",1,-0.17
6,23,"(11, 9)",0,-0.17
6,24,"(11, 8)",0,-0.17
6,25,"(11, 7)",0,-0.17
6,26,"(11, 6)",0,-0.17
6,27,"(11, 5)",1,-0.17
6,28,"(12, 5)",1,-0.17
6,29,"(13, 5)",0,-16.67
6,30,"(13, 5)",1,-0.17
6,31,"(14, 5)",1,-0.17
6,32,"(15, 5)",1,-0.17
6,33,"(16, 5)",1,-0.17
6,34,"(17, 5)",1,-0.17
6,35,"(18, 5)",1,-0.17
6,36,"(19, 5)",1,-0.17
6,37,"(20, 5)",1,-0.17
6,38,"(21, 5)",0,-0.17
6,39,"(21, 4)",1,-0.17
6,40,"(22, 4)",1,-0.17
6,41,"(23, 4)",1,-0.17
6,42,"(24, 4)",1,-0.17
6,43,"(25, 4)",1,-0.17
6,44,"(26, 4)",0,-0.17
6,45,"(26, 3)",1,-0.17
6,46,"(27, 3)",1,-0.17
6,47,"(28, 3)",1,-0.17
6,48,"(29, 3)",1,-0.17
6,49,"(30, 3)",1,-0.17
6,50,"(31, 3)",1,-0.17
6,51,"(32, 3)",1,-0.17
6,52,"(33, 3)",0,-0.17
6,53,"(33, 2)",1,-0.17
6,54,"(34, 2)",1,-0.17
6,55,"(35, 2)",1,-0.17
6,56,"(36, 2)",2,-0.17
6,57,"(36, 3)",1,-0.17
6,58,"(37, 3)",1,-0.17
6,59,"(38, 3)",0,-0.17
6,60,"(38, 2)",0,-0.17
6,61,"(38, 1)",1,-0.17
6,62,"(39, 1)",0,16.67
7,0,"(0, 19)",1,-0.17
7,1,"(1, 19)",1,-0.17
7,2,"(2, 19)",1,-0.17
7,3,"(3, 19)",1,-16.67
7,4,"(3, 19)",0,-16.67
7,5,"(3, 19)",3,-0.17
7,6,"(2, 19)",3,-0.17
7,7,"(1, 19)",0,-0.17
7,8,"(1, 18)",0,-0.17
7,9,"(1, 17)",1,-0.17
7,10,"(2, 17)",1,-0.17
7,11,"(3, 17)",0,-0.17
7,12,"(3, 16)",1,-0.17
7,13,"(4, 16)",1,-0.17
7,14,"(5, 16)",1,-0.17
7,15,"(6, 16)",0,-0.17
7,16,"(6, 15)",0,-0.17
7,17,"(6, 14)",0,-0.17
7,18,"(6, 13)",1,-0.17
7,19,"(7, 13)",0,-16.67
7,20,"(7, 13)",1,-0.17
7,21,"(8, 13)",0,-0.17
7,22,"(8, 12)",0,-0.17
7,23,"(8, 11)",1,-0.17
7,24,"(9, 11)",0,-0.17
7,25,"(9, 10)",1,-0.17
7,26,"(10, 10)",1,-16.67
7,27,"(10, 10)",0,-0.17
7,28,"(10, 9)",0,-0.17
7,29,"(10, 8)",0,-0.17
7,30,"(10, 7)",1,-0.17
7,31,"(11, 7)",0,-0.17
7,32,"(11, 6)",0,-0.17
7,33,"(11, 5)",1,-0.17
7,34,"(12, 5)",1,-0.17
7,35,"(13, 5)",0,-16.67
7,36,"(13, 5)",1,-0.17
7,37,"(14, 5)",1,-0.17
7,38,"(15, 5)",1,-0.17
7,39,"(16, 5)",1,-0.17
7,40,"(17, 5)",1,-0.17
7,41,"(18, 5)",1,-0.17
7,42,"(19, 5)",1,-0.17
7,43,"(20, 5)",1,-0.17
7,44,"(21, 5)",0,-0.17
7,45,"(21, 4)",1,-0.17
7,46,"(22, 4)",1,-0.17
7,47,"(23, 4)",0,-0.17
7,48,"(23, 3)",1,-0.17
7,49,"(24, 3)",1,-0.17
7,50,"(25, 3)",1,-0.17
7,51,"(26, 3)",1,-0.17
7,52,"(27, 3)",1,-0.17
7,53,"(28, 3)",1,-0.17
7,54,"(29, 3)",1,-0.17
7,55,"(30, 3)",1,-0.17
7,56,"(31, 3)",1,-0.17
7,57,"(32, 3)",1,-0.17
7,58,"(33, 3)",0,-0.17
7,59,"(33, 2)",1,-0.17
7,60,"(34, 2)",1,-0.17
7,61,"(35, 2)",2,-0.17
